                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     46,                0.92756,                0.84489,                 1.1564,                0.85073,                0.65784,                0.74453,                0.42608,                  1.501,                0.96471,                 1.6048,             0.00040298,             0.00040298,             0.00040298
                     47,                0.92864,                0.85365,                 1.1599,                0.87344,                  0.693,                 0.7477,                0.42933,                 1.4561,                0.90819,                 1.5326,             0.00039591,             0.00039591,             0.00039591
                     48,                 0.9307,                0.85033,                 1.1579,                0.87731,                0.69087,                0.76386,                0.43328,                 1.4438,                0.92299,                 1.5624,             0.00038884,             0.00038884,             0.00038884
                     49,                0.92835,                 0.8498,                 1.1568,                0.86324,                0.67649,                 0.7523,                0.42957,                 1.4194,                0.92699,                 1.5342,             0.00038178,             0.00038178,             0.00038178
                     50,                0.91995,                0.83311,                 1.1516,                0.86145,                0.68892,                0.75638,                0.42314,                 1.4766,                0.92426,                 1.5892,             0.00037471,             0.00037471,             0.00037471
                     51,                 0.9179,                0.82832,                 1.1487,                0.85145,                0.67575,                0.74698,                 0.4362,                  1.461,                0.90925,                 1.5631,             0.00036764,             0.00036764,             0.00036764
                     52,                0.92149,                0.82721,                 1.1493,                0.86861,                 0.6783,                0.74965,                0.42841,                 1.4903,                0.91117,                 1.6369,             0.00036057,             0.00036057,             0.00036057
                     53,                0.91047,                0.81843,                 1.1457,                0.84123,                0.69629,                 0.7509,                0.43233,                 1.4635,                0.89608,                 1.5477,              0.0003535,              0.0003535,              0.0003535
                     54,                0.91288,                0.81889,                 1.1428,                0.84238,                0.70182,                0.75004,                0.43672,                 1.4473,                0.88016,                 1.5405,             0.00034643,             0.00034643,             0.00034643
                     55,                0.89733,                0.80355,                 1.1364,                0.87062,                 0.6883,                0.76193,                0.45251,                 1.3781,                0.87897,                 1.5182,             0.00033936,             0.00033936,             0.00033936
                     56,                0.89607,                0.79567,                 1.1349,                0.88091,                0.69596,                0.77145,                0.45552,                 1.4018,                0.85706,                 1.4934,              0.0003323,              0.0003323,              0.0003323
